variable_investment_cost_solar,variable_investment_cost_battery,battery_capacity,rated_power,total_cost
100,0,100.0,100.0,2019.0027443071883
100,100,72.05603835946461,100.0,2847.986905221569
100,200,62.18883078638592,100.0,3520.6529144271517
100,500,0.0,100.0,4710.3452719543575
400,0,100.0,100.0,3219.0027443071867
400,100,72.05603835946461,100.0,4047.986905221579
400,200,62.18883078638592,100.0,4720.652914427137
400,500,0.0,100.0,5910.345271954342
1100,0,100.0,62.37108935898579,5666.57205140374
1100,100,64.71042579396196,58.4989157761335,6429.485786899523
1100,200,54.65042761984492,55.027925909935284,7022.091587620102
1100,500,0.0,30.636371695777605,7510.72034738605
2000,0,100.0,36.226027785905806,7336.742912132005
2000,100,56.25412022494321,34.40414132487172,8015.691474309403
2000,200,0.0,18.231852123421227,8346.76679408814
2000,500,0.0,18.231852123421227,8346.766794088639
3000,0,100.0,27.975419680230516,8588.44704080239
3000,100,0.0,12.194218610953437,8943.90042181189
3000,200,0.0,12.194218610953433,8943.90042181189
3000,500,0.0,12.194218610953437,8943.900421811893
