grid_cons,pv_grid,battery_cons,lost_discharging,pv_battery,lost_charging,pv_cons,battery_usage,consumption_data,normalized_pv
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.536,0.0
2.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,0.0
1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41600000000000004,0.0
1.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,0.0
1.3519999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.0
0.8240000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.0
1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.0
0.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.0207378712871287
0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8079999999999999,0.0766902360387091
0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8319999999999999,0.129477357355501
0.5760000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.219984721858281
0.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.808,0.16205151593859102
0.888,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.7440000000000001,0.140233101561832
0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6480000000000001,0.0785109104964767
0.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9440000000000001,0.0210917626405868
0.7199999999999999,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.8079999999999999,0.0
1.7519999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1440000000000001,0.0
0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064,0.0
0.6559999999999846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0
1.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.456,0.0
1.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4080000000000001,0.0
1.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.4240000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.0
1.5759999999999996,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.496,0.0
2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43200000000000005,0.0
2.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5760000000000001,0.0
1.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424,0.0
2.2880000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43200000000000005,0.0
2.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.0
0.9840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616,0.0
0.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7440000000000001,0.0347384108910891
0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008,0.0785897168504774
0.6559999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.504,0.11668991873751501
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3119999999999998,0.136112929340593
0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056,0.13819820089633497
0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9520000000000001,0.0934682642473076
0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0637988570056617
0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.00943946215619753
0.4319999999999862,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0
0.7759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0
1.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0
1.6559999999999997,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.76,0.0
0.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784,0.0
1.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,0.0
1.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0
1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9279999999999999,0.0
0.8959999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.0
1.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,0.0
3.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0
1.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
2.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
2.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,0.0
0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024,0.0273205841584158
0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8240000000000001,0.15268406905850102
0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.259466625677731
0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2880000000000003,0.277340982430399
0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.264,0.23068240807309198
0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.296,0.235914082875717
0.7040000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3119999999999998,0.15117920365231602
0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0325756460442386
0.9840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.0
3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0
2.4479999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.496,0.0
2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.912,0.0
0.9119999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168,0.0
0.8640000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168,0.0
0.7279999999999855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3359999999999999,0.0
1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5760000000000001,0.0
1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,0.0
1.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
2.3680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424,0.0
2.2640000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.0
1.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.0
1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.0
0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
0.7040000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6559999999999999,0.0350562623762376
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792,0.227935623131571
0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.341319136509865
0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5519999999999998,0.378425635782886
0.8079999999999998,0.0,0.0,0.0,0.0,0.0,1.734723475976807e-18,0.0,0.912,0.354960128994206
0.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7440000000000001,0.304806632878219
0.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.22037702749839702
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056,0.10423846483716302
0.984,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.9279999999999999,0.0
